Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
731.381,2967.83,115,187.299
732.104,3011.95,115,187.485
727.309,3085.34,115,186.253
726.759,3130.72,115,186.112
726.573,3195.49,115,186.064
726.573,3239.66,115,186.064
716.93,3233.95,115,183.586
717.352,3224.18,115,183.695
717.544,3208.76,115,183.744
709.758,3188.07,115,181.743
720.156,3167.9,115,184.415
709.488,3158.27,115,181.674
710.823,3143.25,115,182.017
710.676,3124.48,115,181.979
708.588,3108.48,115,181.443
709.56,3107.93,115,181.693
704.078,3099.68,115,180.284
704.394,3086.72,115,180.365
700.613,3071.59,115,179.394
698.136,3056.58,115,178.757
703.242,3052.9,115,180.069
700.27,3037.77,115,179.305
690.252,1885.65,115,176.731
687.61,1794.13,115,176.053
690.431,1783.85,115,176.777
683.1,1706.38,115,174.894
681.546,1623.31,115,174.495
675.142,1553.78,115,172.849
673.696,1505.32,115,172.477
673.243,1445.64,115,172.361
665.05,1378.63,115,170.256
664.259,1330.68,115,170.053
660.556,1312.6,115,169.101
660.816,1286.59,115,169.168
657.456,1263.66,115,168.305
650.502,1213.48,115,166.518
648.997,1185.46,115,166.131
649.056,1158.7,116.678,164.725
640.781,1130.21,121.051,159.088
636.546,1103.74,125.191,154.787
636.076,1080.65,128.751,151.845
626.622,1036.1,136.14,144.24
626.902,1045.87,134.587,145.478
623.38,1015.23,139.641,141.009
613.39,1022.25,139.183,139.593
613.39,1009.71,141.225,138.125
612.713,985.962,145.142,135.201
610.31,977.343,146.75,133.676
604.623,971.702,148.172,131.799
594.143,960.481,151.008,128.283
590.655,973.06,149.163,128.95
590.422,967.647,150.117,128.294
581.17,975.413,149.574,127.168
580.438,982.506,148.382,127.79
569.97,977.242,150.206,124.95
560.964,964.591,153.32,121.668
557.063,964.995,153.599,120.878
557.063,974.304,151.857,121.854
551.678,960.038,155.026,119.215
543.925,982.288,151.454,119.84
544.335,972.469,153.313,118.925
538.375,990.809,150.248,119.496
515.087,1007.27,148.706,115.982
501.629,1020.87,146.792,114.26
494.42,1016.42,148.225,112.227
510.737,1034.53,143.344,117.615
508.621,1033.25,143.739,117.011
502.471,1034.39,143.872,115.716
502.471,1022.03,146.49,114.558
497.111,1038.59,143.293,114.883
492.646,1051.42,140.775,115.037
486.113,1051.39,141.125,113.521
489.063,1057,139.746,114.715
486.452,1044.58,142.601,112.983
479.001,1058.02,140.024,112.462
478.585,1050.43,141.735,111.691
478.825,1069.04,137.578,113.4
471.961,1082.34,134.879,112.948
471.575,1096.54,131.679,114.098
468.492,1092.57,132.684,113.01
463.65,1107.55,129.403,113.132
463.686,1114.29,127.851,113.72
461.04,1122.73,125.963,113.792
461.304,1096.94,131.921,111.654
451.892,1078.8,136.491,107.872
452.975,2236.14,115,115.764
450.2,2220.2,115,115.051
443.496,2210.25,115,115
441.462,2199.15,115,115
445.833,2189.37,115,115
444.552,2177.26,115,115
441.468,2156.49,115,115
